assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
HUMAN_DOMAINOME_P03034_PF01381_4,1426,1426,0,0,0,1426,40,40,0,0,0,0,0.8882676183647163,0.1
HUMAN_DOMAINOME_P04150_PF00105_419,1410,1410,0,0,0,1410,40,40,0,0,0,0,0.7724414261263448,0.05
HUMAN_DOMAINOME_P05813_PF00030_31,1666,1666,0,0,0,1666,40,40,0,0,0,0,0.7951007219708243,0.1
HUMAN_DOMAINOME_P07316_PF00030_87,1650,1650,0,0,0,1650,40,40,0,0,0,0,0.9443080713089141,0.05
HUMAN_DOMAINOME_P07320_PF00030_90,1454,1454,0,0,0,1454,40,40,0,0,0,0,0.8052703694670578,0.025
HUMAN_DOMAINOME_P09086_PF00157_200,1271,1271,0,0,0,1271,40,40,0,0,0,0,0.8742545472078334,0.05
HUMAN_DOMAINOME_P10589_PF00105_83,1437,1437,0,0,0,1437,40,40,0,0,0,0,1.0,0.125
HUMAN_DOMAINOME_P10826_PF00105_85,1451,1451,0,0,0,1451,40,40,0,0,0,0,0.9481687005637834,0.025
HUMAN_DOMAINOME_P11308_PF02198_117,1527,1527,0,0,0,1527,40,40,0,0,0,0,0.7880183037900286,0.0
HUMAN_DOMAINOME_P11844_PF00030_85,1679,1679,0,0,0,1679,40,40,0,0,0,0,0.8147434966404138,0.075
HUMAN_DOMAINOME_P13796_PF13499_13,1537,1537,0,0,0,1537,40,40,0,0,0,0,0.8929512382616162,0.175
HUMAN_DOMAINOME_P14859_PF00157_285,1234,1234,0,0,0,1234,40,40,0,0,0,0,0.9030057319686734,0.05
HUMAN_DOMAINOME_P14921_PF02198_55,1479,1479,0,0,0,1479,40,40,0,0,0,0,0.9386380991150756,0.15
HUMAN_DOMAINOME_P15056_PF02196_153,1437,1437,0,0,0,1437,40,40,0,0,0,0,0.8695621379297699,0.1
HUMAN_DOMAINOME_P16157_PF00531_1405,1428,1428,0,0,0,1428,40,40,0,0,0,0,0.7818051919391124,0.125
HUMAN_DOMAINOME_P16989_PF00313_84,1633,1633,0,0,0,1633,40,40,0,0,0,0,0.9382417228409685,0.125
HUMAN_DOMAINOME_P20265_PF00157_262,1429,1429,0,0,0,1429,40,40,0,0,0,0,1.0,0.075
HUMAN_DOMAINOME_P22914_PF00030_96,1402,1402,0,0,0,1402,40,40,0,0,0,0,0.8034507235221235,0.025
MAVEDB_urn_mavedb_00000074-a-1,4323,4323,0,0,0,4323,40,40,0,0,0,0,0.8260856807405768,0.025
MAVEDB_urn_mavedb_00000077-a-1,2986,2986,0,0,0,2986,40,40,0,0,0,0,0.8214840474888965,0.025
MAVEDB_urn_mavedb_00000088-a-1,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.33564603608014354,0.0
MAVEDB_urn_mavedb_00000092-a-1,10716,10716,0,0,0,10716,40,40,0,0,0,0,0.395153031187259,0.0
MAVEDB_urn_mavedb_00000110-a-1,4004,4004,0,0,0,4004,40,40,0,0,0,0,0.7766100469122807,0.0
MAVEDB_urn_mavedb_00000110-a-2,4003,4003,0,0,0,4003,40,40,0,0,0,0,0.629444134030608,0.0
MAVEDB_urn_mavedb_00000110-a-3,3994,3994,0,0,0,3994,40,40,0,0,0,0,0.8024436674154459,0.0
MAVEDB_urn_mavedb_00000115-a-1,3342,3342,0,0,0,3342,40,40,0,0,0,0,0.49156221560472246,0.0
MAVEDB_urn_mavedb_00000115-a-2,3264,3264,0,0,0,3264,40,40,0,0,0,0,0.5212121709378704,0.0
MAVEDB_urn_mavedb_00000115-a-4,3082,3082,0,0,0,3082,40,40,0,0,0,0,0.3855455164276615,0.0
MAVEDB_urn_mavedb_00000115-a-6,3301,3301,0,0,0,3301,40,40,0,0,0,0,0.3528255057983247,0.0
MAVEDB_urn_mavedb_00000660-a-1,8215,8215,0,0,0,8215,40,40,0,0,0,0,0.7988313922801729,0.0
MAVEDB_urn_mavedb_00000674-a-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.9230454791940166,0.025
MAVEDB_urn_mavedb_00000674-b-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.9230454791940166,0.025
MAVEDB_urn_mavedb_00000692-a-1,1154,1154,0,0,0,1154,40,40,0,0,0,0,0.911777355918825,0.125
MAVEDB_urn_mavedb_00000694-a-1,1338,1338,0,0,0,1338,40,40,0,0,0,0,0.89499694560613,0.05
MAVEDB_urn_mavedb_00000749-a-1,1271,1271,0,0,0,1271,40,40,0,0,0,0,0.8116898239147743,0.075
MAVEDB_urn_mavedb_00000751-a-1,1172,1172,0,0,0,1172,40,40,0,0,0,0,0.7627251232075951,0.075
MAVEDB_urn_mavedb_00000864-a-1,1122,1122,0,0,0,1122,40,40,0,0,0,0,0.9550487312617912,0.075
MAVEDB_urn_mavedb_00000865-a-1,1093,1093,0,0,0,1093,40,40,0,0,0,0,0.8700844174067602,0.025
MAVEDB_urn_mavedb_00001002-a-1,1250,1250,0,0,0,1250,40,40,0,0,0,0,0.958702086567832,0.075
MAVEDB_urn_mavedb_00001087-a-1,1291,1291,0,0,0,1291,40,40,0,0,0,0,0.8536841596240611,0.175
MAVEDB_urn_mavedb_00001212-a-2,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.7585703708052979,0.0
MAVEDB_urn_mavedb_00001212-a-3,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.789567671939453,0.0
MAVEDB_urn_mavedb_00001212-a-4,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.7196516631777781,0.0
MAVEDB_urn_mavedb_00001217-a-1,2632,2632,0,0,0,2632,40,40,0,0,0,0,0.8286760266530785,0.025
MAVEDB_urn_mavedb_00001217-a-2,2605,2605,0,0,0,2605,40,40,0,0,0,0,0.8378369251550066,0.025
MAVEDB_urn_mavedb_00001217-a-4,2655,2655,0,0,0,2655,40,40,0,0,0,0,0.8124174855731906,0.025
MAVEDB_urn_mavedb_00001218-a-2,4802,4802,0,0,0,4802,40,40,0,0,0,0,0.5120843991448398,0.0
MAVEDB_urn_mavedb_00001249-a-1,2585,2585,0,0,0,2585,40,40,0,0,0,0,0.729362030564379,0.025
MAVEDB_urn_mavedb_00001249-a-2,2593,2593,0,0,0,2593,40,40,0,0,0,0,0.7625006273042895,0.0
MAVEDB_urn_mavedb_00001249-a-3,2591,2591,0,0,0,2591,40,40,0,0,0,0,0.49192724065626237,0.025
MAVEDB_urn_mavedb_00001252-a-1,8065,8065,0,0,0,8065,40,40,0,0,0,0,0.9029859748950703,0.0
MAVEDB_urn_mavedb_00001252-a-2,8080,8080,0,0,0,8080,40,40,0,0,0,0,0.9387403810891766,0.025
MAVEDB_urn_mavedb_00001266-b-1,9676,9676,0,0,0,9676,40,40,0,0,0,0,0.8435752644876295,0.0
MAVEDB_urn_mavedb_00001267-a-1,3482,3482,0,0,0,3482,40,40,0,0,0,0,0.9001513116449339,0.0
MAVEDB_urn_mavedb_00001267-a-2,3531,3531,0,0,0,3531,40,40,0,0,0,0,0.8820832738337886,0.0
MAVEDB_urn_mavedb_00001267-b-1,5409,5409,0,0,0,5409,40,40,0,0,0,0,0.8907183133372248,0.025
MAVEDB_urn_mavedb_00001269-a-1,15507,15507,0,0,0,15507,40,40,0,0,0,0,0.8660748471511419,0.0
MAVEDB_urn_mavedb_00001270-a-1,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.5432933639807158,0.025
MAVEDB_urn_mavedb_00001270-a-10,22533,22533,0,0,0,22533,40,40,0,0,0,0,0.6227835526757773,0.0
MAVEDB_urn_mavedb_00001270-a-2,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.5989594558538042,0.0
MAVEDB_urn_mavedb_00001273-a-1,3548,3548,0,0,0,3548,40,40,0,0,0,0,0.733032729025695,0.025
MAVEDB_urn_mavedb_00001274-a-1,8750,8750,0,0,0,8750,40,40,0,0,0,0,0.8610944759495895,0.025
PROTEINGYM_A0A2Z5U3Z0_9INFA_Doud_2016,10715,10715,0,0,0,10715,40,40,0,0,0,0,0.8708652094463704,0.025
PROTEINGYM_A4D664_9INFA_Soh_2019,14421,14421,0,0,0,14421,40,40,0,0,0,0,0.1420239989569503,0.0
PROTEINGYM_ADRB2_HUMAN_Jones_2020,7800,7800,0,0,0,7800,40,40,0,0,0,0,0.5121724020993307,0.0
PROTEINGYM_AMIE_PSEAE_Wrenbeck_2017,6227,6227,0,0,0,6227,40,40,0,0,0,0,0.8014154870940883,0.0
PROTEINGYM_BLAT_ECOLX_Deng_2012,4996,4996,0,0,0,4996,40,40,0,0,0,0,0.9005485347821879,0.0
PROTEINGYM_C6KNH7_9INFA_Lee_2018,10754,10754,0,0,0,10754,40,40,0,0,0,0,0.7846690300924586,0.0
PROTEINGYM_ENVZ_ECOLI_Ghose_2023,1121,1121,0,0,0,1121,40,40,0,0,0,0,0.8513033737925624,0.025
PROTEINGYM_HSP82_YEAST_Flynn_2019,13294,13294,0,0,0,13294,40,40,0,0,0,0,0.7478685491089305,0.025
PROTEINGYM_HXK4_HUMAN_Gersing_2022_activity,8570,8570,0,0,0,8570,40,40,0,0,0,0,0.8676943713541199,0.075
PROTEINGYM_HXK4_HUMAN_Gersing_2023_abundance,8396,8396,0,0,0,8396,40,40,0,0,0,0,0.8758122097862323,0.0
PROTEINGYM_I6TAH8_I68A0_Doud_2015,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.9041291441368996,0.025
PROTEINGYM_KCNE1_HUMAN_Muhammad_2023_function,2315,2315,0,0,0,2315,40,40,0,0,0,0,0.8177979398467596,0.0
PROTEINGYM_KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,6963,0,0,0,6963,40,40,0,0,0,0,0.9273974537986733,0.025
PROTEINGYM_KKA2_KLEPN_Melnikov_2014,4960,4960,0,0,0,4960,40,40,0,0,0,0,0.7723451633868545,0.0
PROTEINGYM_LGK_LIPST_Klesmith_2015,7890,7890,0,0,0,7890,40,40,0,0,0,0,0.9216962371839571,0.0
PROTEINGYM_MET_HUMAN_Estevam_2023,5393,5393,0,0,0,5393,40,40,0,0,0,0,0.9966849934701562,0.025
PROTEINGYM_MK01_HUMAN_Brenan_2016,6809,6809,0,0,0,6809,40,40,0,0,0,0,0.6669671232918,0.0
PROTEINGYM_NCAP_I34A1_Doud_2015,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.7209205847810642,0.0
PROTEINGYM_NUD15_HUMAN_Suiter_2020,2844,2844,0,0,0,2844,40,40,0,0,0,0,0.8963774620170923,0.025
PROTEINGYM_OXDA_RHOTO_Vanella_2023_activity,6396,6396,0,0,0,6396,40,40,0,0,0,0,0.5047933818569575,0.0
PROTEINGYM_P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.8018733718715475,0.0
PROTEINGYM_P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.5426059554848239,0.0
PROTEINGYM_P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.5650965002267746,0.0
PROTEINGYM_PHOT_CHLRE_Chen_2023,2122,2122,0,0,0,2122,40,40,0,0,0,0,0.9390630478027286,0.05
PROTEINGYM_POLG_DEN26_Suphatrakul_2023,16897,16897,0,0,0,16897,40,40,0,0,0,0,0.8933752975169651,0.025
PROTEINGYM_PPARG_HUMAN_Majithia_2016,9576,9576,0,0,0,9576,40,40,0,0,0,0,0.842097902097902,0.0
PROTEINGYM_PTEN_HUMAN_Mighell_2018,7260,7260,0,0,0,7260,40,40,0,0,0,0,0.755537241959692,0.0
PROTEINGYM_RASH_HUMAN_Bandaru_2017,3134,3134,0,0,0,3134,40,40,0,0,0,0,0.41033678704241894,0.025
PROTEINGYM_REV_HV1H2_Fernandes_2016,2147,2147,0,0,0,2147,40,40,0,0,0,0,0.6074937875121076,0.0
PROTEINGYM_RNC_ECOLI_Weeks_2023,4277,4277,0,0,0,4277,40,40,0,0,0,0,0.9401962447741461,0.025
PROTEINGYM_S22A1_HUMAN_Yee_2023_abundance,9803,9803,0,0,0,9803,40,40,0,0,0,0,0.9216121988163493,0.05
PROTEINGYM_S22A1_HUMAN_Yee_2023_activity,10094,10094,0,0,0,10094,40,40,0,0,0,0,0.6267317698034252,0.0
PROTEINGYM_SC6A4_HUMAN_Young_2021,11576,11576,0,0,0,11576,40,40,0,0,0,0,0.7554979561219942,0.0
PROTEINGYM_SHOC2_HUMAN_Kwon_2022,10972,10972,0,0,0,10972,40,40,0,0,0,0,0.581092811637749,0.0
PROTEINGYM_SUMO1_HUMAN_Weile_2017,1700,1700,0,0,0,1700,40,40,0,0,0,0,0.7049495123224924,0.0
PROTEINGYM_TAT_HV1BR_Fernandes_2016,1577,1577,0,0,0,1577,40,40,0,0,0,0,0.7455820267526079,0.1
PROTEINGYM_UBC9_HUMAN_Weile_2017,2563,2563,0,0,0,2563,40,40,0,0,0,0,0.4581595093665647,0.05
PROTEINGYM_VKOR1_HUMAN_Chiasson_2020_abundance,2695,2695,0,0,0,2695,40,40,0,0,0,0,0.9153019446805467,0.05
SLC13A5_zenodo_15352983_joined_variants_scores,9200,9200,0,0,0,9200,40,40,0,0,0,0,0.6069613294164128,0.0
urn_mavedb_00000657-b-1,5842,5842,0,0,0,5842,40,40,0,0,0,0,0.8630388507074164,0.0
urn_mavedb_00001281-a-2,8751,8751,0,0,0,8751,40,40,0,0,0,0,0.8327749300631021,0.0
